status,run_dir,run_name,run_group,c3,d4,lhe_file,mg5_generated_events,herwig_input,herwig_run,herwig_output_root,herwig_output_var_root,nevents,seed,reason
skipped_nonmatching_events,/mnt/ssd2/Projects/4H/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_1_-0.5_0.0,HW-run_gg_4h_1_-0.5_0.0,1,-0.5,0.0,/mnt/ssd2/Projects/4H/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_1_-0.5_0.0/unweighted_events.lhe.gz,1,HerwigSignalPoints/c3d4_10k/HW-run_gg_4h_1_-0.5_0.0.in,HerwigSignalPoints/c3d4_10k/HW-run_gg_4h_1_-0.5_0.0.run,HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_1_-0.5_0.0.root,HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_1_-0.5_0.0_var.smearCMS.root,10000,63002609,MG5 banner generated_events is not 10000
skipped_nonmatching_events,/mnt/ssd2/Projects/4H/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_1_-0.866025_0.0,HW-run_gg_4h_1_-0.866025_0.0,1,-0.866025,0.0,/mnt/ssd2/Projects/4H/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_1_-0.866025_0.0/unweighted_events.lhe.gz,1,HerwigSignalPoints/c3d4_10k/HW-run_gg_4h_1_-0.866025_0.0.in,HerwigSignalPoints/c3d4_10k/HW-run_gg_4h_1_-0.866025_0.0.run,HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_1_-0.866025_0.0.root,HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_1_-0.866025_0.0_var.smearCMS.root,10000,122688150,MG5 banner generated_events is not 10000
skipped_nonmatching_events,/mnt/ssd2/Projects/4H/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_1_0.0_0.0,HW-run_gg_4h_1_0.0_0.0,1,0.0,0.0,/mnt/ssd2/Projects/4H/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_1_0.0_0.0/unweighted_events.lhe.gz,1,HerwigSignalPoints/c3d4_10k/HW-run_gg_4h_1_0.0_0.0.in,HerwigSignalPoints/c3d4_10k/HW-run_gg_4h_1_0.0_0.0.run,HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_1_0.0_0.0.root,HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_1_0.0_0.0_var.smearCMS.root,10000,58708252,MG5 banner generated_events is not 10000
skipped_nonmatching_events,/mnt/ssd2/Projects/4H/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_1_0.5_0.0,HW-run_gg_4h_1_0.5_0.0,1,0.5,0.0,/mnt/ssd2/Projects/4H/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_1_0.5_0.0/unweighted_events.lhe.gz,1,HerwigSignalPoints/c3d4_10k/HW-run_gg_4h_1_0.5_0.0.in,HerwigSignalPoints/c3d4_10k/HW-run_gg_4h_1_0.5_0.0.run,HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_1_0.5_0.0.root,HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_1_0.5_0.0_var.smearCMS.root,10000,65734673,MG5 banner generated_events is not 10000
skipped_nonmatching_events,/mnt/ssd2/Projects/4H/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_2_-0.258819_0.0,HW-run_gg_4h_2_-0.258819_0.0,2,-0.258819,0.0,/mnt/ssd2/Projects/4H/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_2_-0.258819_0.0/unweighted_events.lhe.gz,1,HerwigSignalPoints/c3d4_10k/HW-run_gg_4h_2_-0.258819_0.0.in,HerwigSignalPoints/c3d4_10k/HW-run_gg_4h_2_-0.258819_0.0.run,HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_2_-0.258819_0.0.root,HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_2_-0.258819_0.0_var.smearCMS.root,10000,68101583,MG5 banner generated_events is not 10000
skipped_nonmatching_events,/mnt/ssd2/Projects/4H/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_2_-0.5_-100.0,HW-run_gg_4h_2_-0.5_-100.0,2,-0.5,-100.0,/mnt/ssd2/Projects/4H/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_2_-0.5_-100.0/unweighted_events.lhe.gz,1,HerwigSignalPoints/c3d4_10k/HW-run_gg_4h_2_-0.5_-100.0.in,HerwigSignalPoints/c3d4_10k/HW-run_gg_4h_2_-0.5_-100.0.run,HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_2_-0.5_-100.0.root,HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_2_-0.5_-100.0_var.smearCMS.root,10000,87598867,MG5 banner generated_events is not 10000
skipped_nonmatching_events,/mnt/ssd2/Projects/4H/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_2_-0.5_-70.7107,HW-run_gg_4h_2_-0.5_-70.7107,2,-0.5,-70.7107,/mnt/ssd2/Projects/4H/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_2_-0.5_-70.7107/unweighted_events.lhe.gz,1,HerwigSignalPoints/c3d4_10k/HW-run_gg_4h_2_-0.5_-70.7107.in,HerwigSignalPoints/c3d4_10k/HW-run_gg_4h_2_-0.5_-70.7107.run,HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_2_-0.5_-70.7107.root,HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_2_-0.5_-70.7107_var.smearCMS.root,10000,73252157,MG5 banner generated_events is not 10000
skipped_nonmatching_events,/mnt/ssd2/Projects/4H/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_2_-0.5_0.0,HW-run_gg_4h_2_-0.5_0.0,2,-0.5,0.0,/mnt/ssd2/Projects/4H/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_2_-0.5_0.0/unweighted_events.lhe.gz,1,HerwigSignalPoints/c3d4_10k/HW-run_gg_4h_2_-0.5_0.0.in,HerwigSignalPoints/c3d4_10k/HW-run_gg_4h_2_-0.5_0.0.run,HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_2_-0.5_0.0.root,HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_2_-0.5_0.0_var.smearCMS.root,10000,125993096,MG5 banner generated_events is not 10000
skipped_nonmatching_events,/mnt/ssd2/Projects/4H/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_2_-0.5_100.0,HW-run_gg_4h_2_-0.5_100.0,2,-0.5,100.0,/mnt/ssd2/Projects/4H/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_2_-0.5_100.0/unweighted_events.lhe.gz,1,HerwigSignalPoints/c3d4_10k/HW-run_gg_4h_2_-0.5_100.0.in,HerwigSignalPoints/c3d4_10k/HW-run_gg_4h_2_-0.5_100.0.run,HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_2_-0.5_100.0.root,HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_2_-0.5_100.0_var.smearCMS.root,10000,52880875,MG5 banner generated_events is not 10000
skipped_nonmatching_events,/mnt/ssd2/Projects/4H/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_2_-0.5_70.7107,HW-run_gg_4h_2_-0.5_70.7107,2,-0.5,70.7107,/mnt/ssd2/Projects/4H/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_2_-0.5_70.7107/unweighted_events.lhe.gz,1,HerwigSignalPoints/c3d4_10k/HW-run_gg_4h_2_-0.5_70.7107.in,HerwigSignalPoints/c3d4_10k/HW-run_gg_4h_2_-0.5_70.7107.run,HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_2_-0.5_70.7107.root,HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_2_-0.5_70.7107_var.smearCMS.root,10000,89368304,MG5 banner generated_events is not 10000
skipped_nonmatching_events,/mnt/ssd2/Projects/4H/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_2_-0.707107_0.0,HW-run_gg_4h_2_-0.707107_0.0,2,-0.707107,0.0,/mnt/ssd2/Projects/4H/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_2_-0.707107_0.0/unweighted_events.lhe.gz,1,HerwigSignalPoints/c3d4_10k/HW-run_gg_4h_2_-0.707107_0.0.in,HerwigSignalPoints/c3d4_10k/HW-run_gg_4h_2_-0.707107_0.0.run,HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_2_-0.707107_0.0.root,HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_2_-0.707107_0.0_var.smearCMS.root,10000,87246791,MG5 banner generated_events is not 10000
skipped_nonmatching_events,/mnt/ssd2/Projects/4H/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_2_-0.866025_-100.0,HW-run_gg_4h_2_-0.866025_-100.0,2,-0.866025,-100.0,/mnt/ssd2/Projects/4H/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_2_-0.866025_-100.0/unweighted_events.lhe.gz,1,HerwigSignalPoints/c3d4_10k/HW-run_gg_4h_2_-0.866025_-100.0.in,HerwigSignalPoints/c3d4_10k/HW-run_gg_4h_2_-0.866025_-100.0.run,HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_2_-0.866025_-100.0.root,HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_2_-0.866025_-100.0_var.smearCMS.root,10000,127126705,MG5 banner generated_events is not 10000
skipped_nonmatching_events,/mnt/ssd2/Projects/4H/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_2_-0.866025_-70.7107,HW-run_gg_4h_2_-0.866025_-70.7107,2,-0.866025,-70.7107,/mnt/ssd2/Projects/4H/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_2_-0.866025_-70.7107/unweighted_events.lhe.gz,1,HerwigSignalPoints/c3d4_10k/HW-run_gg_4h_2_-0.866025_-70.7107.in,HerwigSignalPoints/c3d4_10k/HW-run_gg_4h_2_-0.866025_-70.7107.run,HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_2_-0.866025_-70.7107.root,HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_2_-0.866025_-70.7107_var.smearCMS.root,10000,130078005,MG5 banner generated_events is not 10000
skipped_nonmatching_events,/mnt/ssd2/Projects/4H/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_2_-0.866025_0.0,HW-run_gg_4h_2_-0.866025_0.0,2,-0.866025,0.0,/mnt/ssd2/Projects/4H/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_2_-0.866025_0.0/unweighted_events.lhe.gz,1,HerwigSignalPoints/c3d4_10k/HW-run_gg_4h_2_-0.866025_0.0.in,HerwigSignalPoints/c3d4_10k/HW-run_gg_4h_2_-0.866025_0.0.run,HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_2_-0.866025_0.0.root,HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_2_-0.866025_0.0_var.smearCMS.root,10000,123039214,MG5 banner generated_events is not 10000
skipped_nonmatching_events,/mnt/ssd2/Projects/4H/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_2_-0.866025_100.0,HW-run_gg_4h_2_-0.866025_100.0,2,-0.866025,100.0,/mnt/ssd2/Projects/4H/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_2_-0.866025_100.0/unweighted_events.lhe.gz,1,HerwigSignalPoints/c3d4_10k/HW-run_gg_4h_2_-0.866025_100.0.in,HerwigSignalPoints/c3d4_10k/HW-run_gg_4h_2_-0.866025_100.0.run,HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_2_-0.866025_100.0.root,HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_2_-0.866025_100.0_var.smearCMS.root,10000,104531860,MG5 banner generated_events is not 10000
skipped_nonmatching_events,/mnt/ssd2/Projects/4H/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_2_-0.866025_70.7107,HW-run_gg_4h_2_-0.866025_70.7107,2,-0.866025,70.7107,/mnt/ssd2/Projects/4H/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_2_-0.866025_70.7107/unweighted_events.lhe.gz,1,HerwigSignalPoints/c3d4_10k/HW-run_gg_4h_2_-0.866025_70.7107.in,HerwigSignalPoints/c3d4_10k/HW-run_gg_4h_2_-0.866025_70.7107.run,HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_2_-0.866025_70.7107.root,HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_2_-0.866025_70.7107_var.smearCMS.root,10000,40506939,MG5 banner generated_events is not 10000
skipped_nonmatching_events,/mnt/ssd2/Projects/4H/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_2_-0.965926_0.0,HW-run_gg_4h_2_-0.965926_0.0,2,-0.965926,0.0,/mnt/ssd2/Projects/4H/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_2_-0.965926_0.0/unweighted_events.lhe.gz,1,HerwigSignalPoints/c3d4_10k/HW-run_gg_4h_2_-0.965926_0.0.in,HerwigSignalPoints/c3d4_10k/HW-run_gg_4h_2_-0.965926_0.0.run,HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_2_-0.965926_0.0.root,HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_2_-0.965926_0.0_var.smearCMS.root,10000,115477943,MG5 banner generated_events is not 10000
skipped_nonmatching_events,/mnt/ssd2/Projects/4H/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_2_-1.0_-100.0,HW-run_gg_4h_2_-1.0_-100.0,2,-1.0,-100.0,/mnt/ssd2/Projects/4H/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_2_-1.0_-100.0/unweighted_events.lhe.gz,1,HerwigSignalPoints/c3d4_10k/HW-run_gg_4h_2_-1.0_-100.0.in,HerwigSignalPoints/c3d4_10k/HW-run_gg_4h_2_-1.0_-100.0.run,HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_2_-1.0_-100.0.root,HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_2_-1.0_-100.0_var.smearCMS.root,10000,84024687,MG5 banner generated_events is not 10000
skipped_nonmatching_events,/mnt/ssd2/Projects/4H/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_2_-1.0_-70.7107,HW-run_gg_4h_2_-1.0_-70.7107,2,-1.0,-70.7107,/mnt/ssd2/Projects/4H/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_2_-1.0_-70.7107/unweighted_events.lhe.gz,1,HerwigSignalPoints/c3d4_10k/HW-run_gg_4h_2_-1.0_-70.7107.in,HerwigSignalPoints/c3d4_10k/HW-run_gg_4h_2_-1.0_-70.7107.run,HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_2_-1.0_-70.7107.root,HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_2_-1.0_-70.7107_var.smearCMS.root,10000,56940720,MG5 banner generated_events is not 10000
skipped_nonmatching_events,/mnt/ssd2/Projects/4H/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_2_-1.0_0.0,HW-run_gg_4h_2_-1.0_0.0,2,-1.0,0.0,/mnt/ssd2/Projects/4H/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_2_-1.0_0.0/unweighted_events.lhe.gz,1,HerwigSignalPoints/c3d4_10k/HW-run_gg_4h_2_-1.0_0.0.in,HerwigSignalPoints/c3d4_10k/HW-run_gg_4h_2_-1.0_0.0.run,HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_2_-1.0_0.0.root,HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_2_-1.0_0.0_var.smearCMS.root,10000,85708361,MG5 banner generated_events is not 10000
skipped_nonmatching_events,/mnt/ssd2/Projects/4H/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_2_-1.0_100.0,HW-run_gg_4h_2_-1.0_100.0,2,-1.0,100.0,/mnt/ssd2/Projects/4H/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_2_-1.0_100.0/unweighted_events.lhe.gz,1,HerwigSignalPoints/c3d4_10k/HW-run_gg_4h_2_-1.0_100.0.in,HerwigSignalPoints/c3d4_10k/HW-run_gg_4h_2_-1.0_100.0.run,HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_2_-1.0_100.0.root,HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_2_-1.0_100.0_var.smearCMS.root,10000,66192084,MG5 banner generated_events is not 10000
skipped_nonmatching_events,/mnt/ssd2/Projects/4H/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_2_-1.0_70.7107,HW-run_gg_4h_2_-1.0_70.7107,2,-1.0,70.7107,/mnt/ssd2/Projects/4H/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_2_-1.0_70.7107/unweighted_events.lhe.gz,1,HerwigSignalPoints/c3d4_10k/HW-run_gg_4h_2_-1.0_70.7107.in,HerwigSignalPoints/c3d4_10k/HW-run_gg_4h_2_-1.0_70.7107.run,HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_2_-1.0_70.7107.root,HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_2_-1.0_70.7107_var.smearCMS.root,10000,76950075,MG5 banner generated_events is not 10000
skipped_nonmatching_events,/mnt/ssd2/Projects/4H/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_2_0.0_-100.0,HW-run_gg_4h_2_0.0_-100.0,2,0.0,-100.0,/mnt/ssd2/Projects/4H/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_2_0.0_-100.0/unweighted_events.lhe.gz,1,HerwigSignalPoints/c3d4_10k/HW-run_gg_4h_2_0.0_-100.0.in,HerwigSignalPoints/c3d4_10k/HW-run_gg_4h_2_0.0_-100.0.run,HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_2_0.0_-100.0.root,HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_2_0.0_-100.0_var.smearCMS.root,10000,104825103,MG5 banner generated_events is not 10000
skipped_nonmatching_events,/mnt/ssd2/Projects/4H/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_2_0.0_-70.7107,HW-run_gg_4h_2_0.0_-70.7107,2,0.0,-70.7107,/mnt/ssd2/Projects/4H/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_2_0.0_-70.7107/unweighted_events.lhe.gz,1,HerwigSignalPoints/c3d4_10k/HW-run_gg_4h_2_0.0_-70.7107.in,HerwigSignalPoints/c3d4_10k/HW-run_gg_4h_2_0.0_-70.7107.run,HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_2_0.0_-70.7107.root,HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_2_0.0_-70.7107_var.smearCMS.root,10000,77293746,MG5 banner generated_events is not 10000
skipped_nonmatching_events,/mnt/ssd2/Projects/4H/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_2_0.0_0.0,HW-run_gg_4h_2_0.0_0.0,2,0.0,0.0,/mnt/ssd2/Projects/4H/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_2_0.0_0.0/unweighted_events.lhe.gz,1,HerwigSignalPoints/c3d4_10k/HW-run_gg_4h_2_0.0_0.0.in,HerwigSignalPoints/c3d4_10k/HW-run_gg_4h_2_0.0_0.0.run,HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_2_0.0_0.0.root,HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_2_0.0_0.0_var.smearCMS.root,10000,106819743,MG5 banner generated_events is not 10000
skipped_nonmatching_events,/mnt/ssd2/Projects/4H/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_2_0.0_100.0,HW-run_gg_4h_2_0.0_100.0,2,0.0,100.0,/mnt/ssd2/Projects/4H/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_2_0.0_100.0/unweighted_events.lhe.gz,1,HerwigSignalPoints/c3d4_10k/HW-run_gg_4h_2_0.0_100.0.in,HerwigSignalPoints/c3d4_10k/HW-run_gg_4h_2_0.0_100.0.run,HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_2_0.0_100.0.root,HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_2_0.0_100.0_var.smearCMS.root,10000,85232387,MG5 banner generated_events is not 10000
skipped_nonmatching_events,/mnt/ssd2/Projects/4H/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_2_0.0_70.7107,HW-run_gg_4h_2_0.0_70.7107,2,0.0,70.7107,/mnt/ssd2/Projects/4H/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_2_0.0_70.7107/unweighted_events.lhe.gz,1,HerwigSignalPoints/c3d4_10k/HW-run_gg_4h_2_0.0_70.7107.in,HerwigSignalPoints/c3d4_10k/HW-run_gg_4h_2_0.0_70.7107.run,HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_2_0.0_70.7107.root,HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_2_0.0_70.7107_var.smearCMS.root,10000,99733727,MG5 banner generated_events is not 10000
skipped_nonmatching_events,/mnt/ssd2/Projects/4H/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_2_0.258819_0.0,HW-run_gg_4h_2_0.258819_0.0,2,0.258819,0.0,/mnt/ssd2/Projects/4H/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_2_0.258819_0.0/unweighted_events.lhe.gz,1,HerwigSignalPoints/c3d4_10k/HW-run_gg_4h_2_0.258819_0.0.in,HerwigSignalPoints/c3d4_10k/HW-run_gg_4h_2_0.258819_0.0.run,HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_2_0.258819_0.0.root,HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_2_0.258819_0.0_var.smearCMS.root,10000,83535688,MG5 banner generated_events is not 10000
skipped_nonmatching_events,/mnt/ssd2/Projects/4H/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_2_0.5_-100.0,HW-run_gg_4h_2_0.5_-100.0,2,0.5,-100.0,/mnt/ssd2/Projects/4H/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_2_0.5_-100.0/unweighted_events.lhe.gz,1,HerwigSignalPoints/c3d4_10k/HW-run_gg_4h_2_0.5_-100.0.in,HerwigSignalPoints/c3d4_10k/HW-run_gg_4h_2_0.5_-100.0.run,HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_2_0.5_-100.0.root,HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_2_0.5_-100.0_var.smearCMS.root,10000,123561269,MG5 banner generated_events is not 10000
skipped_nonmatching_events,/mnt/ssd2/Projects/4H/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_2_0.5_-70.7107,HW-run_gg_4h_2_0.5_-70.7107,2,0.5,-70.7107,/mnt/ssd2/Projects/4H/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_2_0.5_-70.7107/unweighted_events.lhe.gz,1,HerwigSignalPoints/c3d4_10k/HW-run_gg_4h_2_0.5_-70.7107.in,HerwigSignalPoints/c3d4_10k/HW-run_gg_4h_2_0.5_-70.7107.run,HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_2_0.5_-70.7107.root,HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_2_0.5_-70.7107_var.smearCMS.root,10000,93503310,MG5 banner generated_events is not 10000
